Bus_Number,Bus_Route,Bus_Type,Service_Weekdays,Service_Saturday,Service_Sunday,Working_Days,Route_Stops
2,Macdonald / Downtown,Regular,TRUE,TRUE,TRUE,7,44
3,Main / Downtown,Regular,TRUE,TRUE,TRUE,7,40
4,Powell / Downtown / UBC,Regular,TRUE,TRUE,TRUE,7,67
5,Robson / Downtown,Regular,TRUE,TRUE,TRUE,7,18
6,Davie / Downtown,Regular,TRUE,TRUE,TRUE,7,15
7,Nanaimo Station / Dunbar,Regular,TRUE,TRUE,TRUE,7,80
8,Fraser / Downtown,Regular,TRUE,TRUE,TRUE,7,43
9,Boundary / Comm-Bwy / Gran / Alma / UBC,Regular,TRUE,TRUE,TRUE,7,67
10,Granville / Downtown,Regular,TRUE,TRUE,TRUE,7,55
14,Hastings / UBC,Regular,TRUE,TRUE,TRUE,7,74
15,Cambie / Olympic Village Station,Regular,TRUE,TRUE,TRUE,7,25
16,29th Avenue Station / Arbutus,Regular,TRUE,TRUE,TRUE,7,89
17,Oak / Downtown,Regular,TRUE,TRUE,TRUE,7,47
19,Metrotown Station / Stanley Park,Regular,TRUE,TRUE,TRUE,7,58
20,Victoria / Downtown,Regular,TRUE,TRUE,TRUE,7,51
22,Knight / Downtown,Regular,TRUE,TRUE,TRUE,7,59
23,Main St Station / Yaletown / Beach,Regular,TRUE,TRUE,TRUE,7,22
25,Brentwood Station / UBC,Regular,TRUE,TRUE,TRUE,7,76
26,Joyce Station / 29th Avenue Station,Regular,TRUE,TRUE,TRUE,7,46
27,Kootenay Loop / Joyce Station,Regular,TRUE,TRUE,TRUE,7,38
28,Cap Universit / Phibbs Exchange / Joyce Station,Regular,TRUE,TRUE,TRUE,7,40
29,Elliott / 29th Avenue Station,Regular,TRUE,TRUE,TRUE,7,19
32,Dunbar / Downtown,Regular,TRUE,FALSE,FALSE,5,35
33,29 Ave Station /  UBC,Regular,TRUE,TRUE,TRUE,7,48
41,Joyce Station / Crown / UBC,Regular,TRUE,TRUE,TRUE,7,60
43,Joyce Station / UBC,Regular,TRUE,FALSE,FALSE,5,18
44,UBC / Downtown,Regular,TRUE,FALSE,FALSE,5,18
49,Metrotown Station / Dunbar Loop / UBC,Regular,TRUE,TRUE,TRUE,7,66
50,Waterfront Station / False Creek South,Regular,TRUE,TRUE,TRUE,7,27
84,UBC / VCC Station,Regular,TRUE,TRUE,TRUE,7,19
95,SFU / Burrard Station (B-Line),Regular,TRUE,TRUE,TRUE,7,17
96,Guildford Exchange /  Newton Exchange (B-Line),Regular,TRUE,TRUE,TRUE,7,13
99,Commercial-Broadway / UBC (B-Line),Regular,TRUE,TRUE,TRUE,7,20
100,22nd St Station / Marpole Loop,Regular,TRUE,TRUE,TRUE,7,49
101,Lougheed Station / 22nd St Station,Regular,TRUE,TRUE,TRUE,7,35
104,22nd St Station / Annacis Island,Regular,TRUE,TRUE,TRUE,7,25
106,New Westminster Station / Metrotown Station,Regular,TRUE,TRUE,TRUE,7,49
110,Lougheed Station / Metrotown Station,Regular,TRUE,TRUE,TRUE,7,49
112,Edmonds Station / New Westminster Station,Regular,TRUE,TRUE,TRUE,7,42
116,Edmonds Station / Metrotown Station,Regular,TRUE,TRUE,TRUE,7,38
123,New Westminster Station / Brentwood Station,Regular,TRUE,TRUE,TRUE,7,37
125,Patterson Station / BCIT,Regular,TRUE,FALSE,FALSE,5,13
128,Braid Station / 22nd Street Station,Regular,TRUE,TRUE,TRUE,7,25
129,Patterson Station / Edmonds Station,Regular,TRUE,TRUE,TRUE,7,72
130,Metrotown / Hastings / Kootenay / Cap U,Regular,TRUE,TRUE,TRUE,7,37
